name,style_code,colorway,release_date,hype_tier
Jordan 1 Low Travis Scott Reverse Mocha,DM7866-162,Sail/University Red-Ridgerock,2022-07-21,1
Jordan 1 High Chicago Lost & Found,DZ5485-612,White/Black-Varsity Red,2022-11-19,1
Jordan 1 High Royal Reimagined,DZ5485-042,Black/Royal Blue-White,2023-11-04,3
Jordan 1 Low Travis Scott x Fragment Military Blue,DM7866-104,Sail/Black-Muslin-Military Blue,2025-11-15,1
Jordan 1 High Union LA Chicago Shadow,HV8563-600,Varsity Red/White/Shadow Grey/Black,2025-02-27,2
Jordan 1 High University Blue,555088-134,White/University Blue-Black,2021-03-06,2
Jordan 1 High Dark Mocha,555088-105,Sail/Dark Mocha-Black,2020-10-31,2
Jordan 1 High Black Toe Reimagined,DZ5485-106,White/Black-Varsity Red-Sail,2025-02-15,3
Jordan 1 High Denim,FQ2947-100,White/Black-Denim,2024-06-15,2
Jordan 1 High True Blue,DZ5485-410,White/True Blue-Black,2023-01-14,3
Jordan 1 High UNC Reimagined,DZ5485-402,Dark Powder Blue/Dark Powder Blue-Sail,2025-05-10,3
Jordan 1 High '85 Bred,HV6674-067,Black/Varsity Red-White,2025-02-14,2
Jordan 1 Low Shadow Reimagined,CZ0790-003,Black/Light Smoke Grey-White,2024-05-11,1
Jordan 1 High Palomino,DZ5485-020,Black/Metallic Gold-Palomino-Sail,2023-09-02,3
Jordan 1 High Satin Bred (W),FD4810-061,Black/Varsity Red,2023-10-18,3
Jordan 4 Bred Reimagined,FV5029-006,Black/Fire Red-Cement Grey-Summit White,2024-02-17,2
Jordan 4 Union LA Guava Ice,DC9533-800,Guava Ice/Light Bone-Brigade Blue-Light Fusion Red,2020-08-29,1
Jordan 4 White Oreo,CT8527-100,White/Tech Grey-Black-Fire Red,2021-07-03,1
Jordan 4 Red Thunder,CT8527-016,Black/White-Red,2022-01-15,1
Jordan 4 Black Cat,CU1110-010,Black/Black-Light Graphite,2020-01-22,1
Jordan 4 Thunder,DH6927-017,Black/Tour Yellow,2023-05-13,2
Jordan 4 Nike SB Pine Green,DR5415-103,Sail/Pine Green-Neutral Grey-White,2023-03-17,1
Jordan 4 Fire Red,DC7770-160,White/Black-Tech Grey-Fire Red,2020-11-28,2
Jordan 4 Union LA Off Noir,DC9533-001,Off-Noir/Brigade Blue-Dark Smoke Grey-Light Fusion Red,2020-10-16,1
Jordan 4 Off-White Sail (W),CV9388-100,Sail/Muslin-White-Black,2020-07-25,1
Jordan 4 Military Black,DH6927-111,White/Black-Neutral Grey,2022-05-21,2
Jordan 4 Metallic Gold (W),AQ9129-170,Sail/Black-Metallic Gold,2024-03-09,2
Jordan 3 Fire Red,DN3707-160,White/Fire Red-Black,2022-09-10,2
Jordan 3 White Cement Reimagined,DN3707-100,Summit White/Fire Red-Black-Cement Grey,2023-03-11,1
Jordan 3 True Blue,IF4396-104,White/Varsity Red-True Blue-Cement Grey-Anthracite,2026-07-18,3
Jordan 3 Black Cement,DN3707-010,Black/Fire Red-Cement Grey-Sail,2024-11-23,2
Jordan 3 Georgetown,CT8532-401,Midnight Navy/Cement Grey-White,2021-03-20,2
Jordan 3 Cool Grey,CT8532-012,Silver/Sport Red-Light Graphite-Orange Peel-White,2021-02-20,2
Jordan 3 Dark Iris,CT8532-105,White/Black-Dark Iris-Cement Grey,2022-08-24,2
Jordan 3 Midnight Navy,CT8532-140,White/Midnight Navy-Cement Grey-Black,2023-12-16,1
Jordan 5 A Ma Maniere Dusk,FD1330-001,Dusk/Black,2023-11-24,2
Jordan 5 A Ma Maniere Violet Ore,IB1528-100,White/Violet Ore-Burgundy Crush,2025-07-25,2
Jordan 5 Racer Blue,CT4838-004,Black/Racer Blue-Reflective Silver,2022-02-12,1
Jordan 5 Raging Bull,DD0587-600,Varsity Red/Black-White,2021-04-10,2
Jordan 5 UNC,DV1310-401,University Blue/Black-White,2023-03-04,2
Jordan 5 Green Bean,DM9014-003,Silver/Green Bean-Flint Grey,2022-05-28,2
Jordan 5 Midnight Navy,FD6812-400,Midnight Navy/Black-Football Grey,2023-11-10,3
Jordan 11 Gratitude,CT8012-170,Black/White-Metallic Gold,2023-12-09,1
Jordan 11 Cool Grey,CT8012-005,Medium Grey/White-Cool Grey,2021-12-11,2
Jordan 11 25th Anniversary Jubilee,CT8012-011,Black/Clear-White-Metallic Silver,2020-12-12,2
Jordan 11 Cherry,CT8012-116,White/Varsity Red-Black,2022-12-10,2
Jordan 11 Bred Velvet (W),DB5457-061,Black/Varsity Red-White,2024-11-11,2
Jordan 11 Bred Low,FV5104-006,Black/Varsity Red-White,2025-04-26,2
Jordan 11 Neapolitan (W),AR0715-101,Sail/Velvet Brown-Atmosphere,2023-11-11,3
Jordan 11 Low Year of the Snake,HQ7000-001,Summit White/Football Grey-Black,2025-01-23,3
